X,Y,OBJECTID,Station,Class,Count_,MFCount,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Min_Date,Lat_DD,Long_DD,Grow_Area,GlobalID
514418.325,4914209.2385,1,EA001.00,A,30,30,2.1,0.22,22,4.1,31,163,2013/04/01 00:00:00+00,44.3810200002098,-68.8190000002229,EA,50b3e4de-22be-4e49-bfcc-3a9f37c1e9c8
516928.5648,4916295.7247,4,EA003.50,P,30,30,2.1,0.19,18,3.8,31,163,2013/04/01 00:00:00+00,44.3997500002763,-68.7874199997946,EA,3e8d32ca-b568-4f7e-a5d2-1b1f54e6cc3f
515741.6422,4916119.4726,5,EA004.00,P,30,30,3,0.49,200,13.3,31,163,2013/04/01 00:00:00+00,44.398190000012,-68.8023299995049,EA,5a2f2920-b4e1-44cc-86a6-064444a4231d
518018.146,4916806.2638,6,EA005.00,P,30,30,2.3,0.32,92,6,31,163,2013/04/01 00:00:00+00,44.4043199998992,-68.7737200001464,EA,d9ab4daf-8ce7-4880-8751-a982dd5ede7b
518997.314,4919353.8145,7,EA006.00,CA,30,30,2.4,0.32,34,6.4,31,163,2013/05/06 00:00:00+00,44.4272300000475,-68.7613299998742,EA,5bc41b47-12a7-4482-a753-e27041fd9300
520438.7005,4920153.4906,8,EA007.00,A,30,30,2.6,0.36,118,7.7,31,163,2015/06/01 00:00:00+00,44.4343900001973,-68.7431900005232,EA,6866d6f4-f9fd-4cc9-97e5-c50743f6fb30
521790.3737,4922687.1132,10,EA009.00,A,30,30,2.5,0.37,78,7.8,31,163,2013/05/06 00:00:00+00,44.4571600002893,-68.7260999997842,EA,ef18fb91-5e94-4055-afb9-e0d0d01b276e
521249.878,4923024.1137,11,EA010.00,A,13,13,3.7,0.53,132,19,31,163,2007/05/08 00:00:00+00,44.4602099996664,-68.732880000457,EA,0e8fba6c-c572-4f5c-bfc0-dd7c6918ef63
520818.9115,4923704.7396,12,EA011.00,R,30,30,6.2,0.63,140,40.8,31,163,2016/04/19 00:00:00+00,44.466349999566,-68.7382699999856,EA,905a399d-5f46-45d2-ac25-5b6b2d9cb737
521822.0199,4923925.7401,13,EA012.00,R,30,30,6.5,0.69,900,50.6,31,163,2013/05/06 00:00:00+00,44.4683100001176,-68.7256500005379,EA,a8d74af0-a2b9-46ba-a4e4-150066a56b33
522288.559,4923569.6498,14,EA013.00,A,30,30,3.3,0.52,300,15.7,31,163,2013/05/06 00:00:00+00,44.4650899999879,-68.7198000000433,EA,ab7ac386-5a3c-4831-a8e1-1bf43a2c001c
523146.9769,4923313.8346,15,EA014.00,P,30,30,4.2,0.55,220,21.7,31,163,2013/05/06 00:00:00+00,44.4627599996049,-68.7090199993955,EA,60cd8dcb-c380-493d-b43f-1626c73e2716
523179.7605,4922373.1191,16,EA014.90,A,30,30,5,0.56,300,26.5,31,163,2013/05/06 00:00:00+00,44.4542900000176,-68.7086500001625,EA,cc876dc7-6826-4a1b-91d6-d0930e4500cc
523398.9255,4922269.4899,17,EA015.00,P,30,30,7.1,0.76,600,67.8,31,163,2013/05/06 00:00:00+00,44.4533500003729,-68.7058999996185,EA,04d988b7-8098-4b69-bb97-69a8313ad14a
522832.8039,4921939.7992,18,EA015.50,A,30,30,3.5,0.56,860,18.5,31,163,2013/05/06 00:00:00+00,44.4503999997663,-68.7130300004166,EA,683bdbfd-216e-4aac-9ca9-34698e928611
521816.9731,4920684.4692,20,EA017.00,A,30,30,2.2,0.18,10,3.9,31,163,2013/05/06 00:00:00+00,44.4391300001645,-68.7258499996945,EA,923f38f7-2c61-4121-a1e0-2dcd0c1f8db1
