X,Y,OBJECTID,Station,Class,Count_,MFCount,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Lat_DD,Long_DD,Grow_Area,GlobalID
514418.325,4914209.2385,1,EA001.00,A,30,30,2.2,0.22,22,4.3,31,163,44.3810200002098,-68.8190000002229,EA,25e2e776-51a4-4a38-8f0f-2b6fe4282319
516928.5648,4916295.7247,4,EA003.50,P,30,30,2.1,0.14,8,3.3,31,163,44.3997500002763,-68.7874199997946,EA,069e4430-c089-4160-8453-fe49ca2c423b
518018.146,4916806.2638,6,EA005.00,P,30,30,2.4,0.34,92,6.5,31,163,44.4043199998992,-68.7737200001464,EA,3543d951-f38d-453d-995a-3d3c0af7eeef
518997.314,4919353.8145,7,EA006.00,CA,30,30,2.6,0.36,34,7.8,31,163,44.4272300000475,-68.7613299998742,EA,9ecede1f-d14e-4b2f-8f18-81425d4cc4f7
520438.7005,4920153.4906,8,EA007.00,A,30,30,2.7,0.37,118,8.1,31,163,44.4343900001973,-68.7431900005232,EA,4e767a6d-97c0-42b2-8513-943428ec4283
521790.3737,4922687.1132,10,EA009.00,A,30,30,2.7,0.41,78,9.5,31,163,44.4571600002893,-68.7260999997842,EA,3df00db7-83d0-4a3e-9ef1-6374c86b501e
521249.878,4923024.1137,11,EA010.00,A,19,19,3.6,0.52,132,17.2,30,163,44.4602099996664,-68.732880000457,EA,0781ea71-af20-4f1f-9e37-59bd155b3706
520818.9115,4923704.7396,12,EA011.00,R,30,30,6,0.64,140,41,31,163,44.466349999566,-68.7382699999856,EA,ce8dcf28-9e4c-4186-87d1-db572ec7d885
521822.0199,4923925.7401,13,EA012.00,R,30,30,7,0.69,900,53.8,31,163,44.4683100001176,-68.7256500005379,EA,b2cbb75d-d424-461a-8369-154eb7c9bb9f
522288.559,4923569.6498,14,EA013.00,A,30,30,3.7,0.54,300,18.5,31,163,44.4650899999879,-68.7198000000433,EA,ddd3ff91-c027-424f-8bf4-df96a5712d7f
523146.9769,4923313.8346,15,EA014.00,P,30,30,5.1,0.6,220,30.8,31,163,44.4627599996049,-68.7090199993955,EA,287fa794-1a14-4dfa-be4c-31b74706e97f
523179.7605,4922373.1191,16,EA014.90,A,30,30,4.6,0.56,300,24.1,31,163,44.4542900000176,-68.7086500001625,EA,b9169797-8f19-47ad-ab0e-9ecb77bda6f3
523398.9255,4922269.4899,17,EA015.00,P,30,30,8.6,0.74,600,78.3,31,163,44.4533500003729,-68.7058999996185,EA,e63a316d-48d0-42b9-b822-a94167057a6e
522832.8039,4921939.7992,18,EA015.50,A,30,30,3.5,0.61,860,21.9,31,163,44.4503999997663,-68.7130300004166,EA,0132a955-742b-4ffb-bbfc-71b56e91beae
521816.9731,4920684.4692,20,EA017.00,A,30,30,2.3,0.23,15,4.7,31,163,44.4391300001645,-68.7258499996945,EA,ecc67920-12a8-4a0f-b0ac-612784e6d3d5
523525.0949,4916189.5572,22,EA019.00,A,30,30,4.2,0.45,92,16.2,31,163,44.398610000332,-68.7045899997035,EA,74a7e409-54df-49d0-a129-ff3d5c766377
523555.7234,4915867.5443,23,EA019.10,A,30,30,2.6,0.34,100,7.3,31,163,44.3957099997712,-68.7042199999364,EA,2621a886-ff3f-4470-a95c-6be5be86735c
525130.5144,4915790.1141,25,EA019.20,A,30,30,3.6,0.51,182,16.6,31,163,44.3949599996036,-68.6844500005407,EA,63fad642-a60c-4518-a0e7-f49ecf922c5f
525223.301,4915686.0597,28,EA019.23,A,30,30,4.9,0.5,112,21.6,31,163,44.3940199995927,-68.6832900006281,EA,f3a5a554-c3e6-49de-b592-bb4a39876d23
525101.589,4915442.3312,29,EA019.27,A,30,30,3,0.43,78,10.9,31,163,44.391829999587,-68.6848300001498,EA,26f42651-e753-4eb6-b419-03239c97314e
525836.0739,4914599.9019,31,EA019.38,A,30,30,3.1,0.48,146,13.1,31,163,44.3842200003837,-68.6756500003932,EA,ce154079-ec5f-43c3-b6b8-bd6505c79368
526097.3777,4914592.0556,32,EA019.39,A,30,30,3.5,0.45,122,13.5,31,163,44.3841399999404,-68.6723699997889,EA,43e62ccc-ec68-47d3-ac5f-c85a57067540
525978.3102,4914287.2293,35,EA019.42,A,30,30,3.8,0.49,108,16.3,31,163,44.3814000002146,-68.6738800002976,EA,24ac5eaa-6a90-48f7-9dc0-61447b083c74
520565.5778,4917525.8039,37,EA021.00,A,30,30,2.6,0.34,28,7.1,31,163,44.4107299997664,-68.7417000002726,EA,05779f80-3089-4ab5-9c0f-be0e2a97f0de
518900.3422,4916561.0605,39,EA023.00,CR,30,30,4.6,0.65,600,32.3,31,163,44.4020899999097,-68.76265000058,EA,755a1f6e-e44d-4388-a07a-e7aad1df8139
517527.2196,4915183.2107,40,EA024.00,CA,30,30,2.1,0.25,44,4.6,31,163,44.389720000272,-68.7799400005351,EA,957cb88a-6625-4359-905c-5632cc59b748
518936.3188,4913218.8787,42,EA026.00,A,30,30,2.6,0.3,24,6.4,31,163,44.3720000000621,-68.7623200000184,EA,6469fb31-206e-4273-918d-dad2c289f733
518645.1175,4911684.0829,44,EA028.00,A,30,30,2.6,0.4,108,8.5,31,163,44.3581900000158,-68.7660299999108,EA,4c9067b4-beda-49ac-8610-df833520c867
517126.5729,4913065.0379,45,EA029.00,CA,30,30,2.9,0.38,36,9.1,31,163,44.3706599998165,-68.7850400003905,EA,2829b80f-a431-43d2-a544-5fceb377f7d5
516909.1367,4913036.7021,47,EA031.00,CA,30,30,3.2,0.51,132,15,31,163,44.3704099997675,-68.7877700002848,EA,7529a7d2-16bb-4144-9015-ccf3272795bd
515757.8278,4906432.6276,54,EB001.00,A,30,30,2.5,0.26,26,5.5,31,163,44.3109799996095,-68.8024200003568,EB,96ff2b6c-19b9-4730-aa42-79978c8d307d
516832.6222,4907478.2966,55,EB002.00,A,30,30,2.8,0.31,46,7.1,31,163,44.3203700000348,-68.7889100003976,EB,262bb6ba-2ac6-4074-9ff9-3d61a8342e02
518159.3318,4908123.8596,56,EB003.00,A,30,30,2.3,0.2,12,4.3,31,163,44.3261499996925,-68.7722500004474,EB,f1bedf60-aca2-4b2a-b234-6086b7e22efc
519963.6206,4910766.0514,57,EB004.00,A,30,30,4.4,0.6,134,26.3,31,163,44.349889999916,-68.7495199998943,EB,97e126b0-2c90-4d67-9c34-83ffe2fca783
520340.1403,4908868.9315,58,EB004.50,P,30,30,2.9,0.43,78,10.5,31,163,44.3327999998594,-68.744870000187,EB,7445d8c1-11dd-4d4d-b49d-d933cd452086
522097.1047,4907508.4066,64,EB008.60,P,30,30,2.7,0.4,70,8.9,31,163,44.3204999999602,-68.7228900006058,EB,6f28ab59-feea-4726-8c11-353520d3d10e
522376.3931,4907452.7079,65,EB009.00,P,30,30,2.3,0.23,13,4.7,31,163,44.3199900002057,-68.7193900000645,EB,6a8739d6-f7de-4783-b004-33697b1a421b
523272.6682,4906790.4943,66,EB010.00,P,30,30,2.1,0.13,7.3,3.2,31,163,44.3139999996042,-68.7081799998839,EB,06a29805-7436-4aef-b407-14884a458e4d
525628.3769,4905401.97,68,EB012.00,A,30,30,2.3,0.26,36,5,31,163,44.301420000387,-68.6787099998214,EB,629958fd-2851-4d6a-9472-00f7afddb237
525976.3298,4904959.0402,69,EB013.00,A,30,30,3,0.41,60,10.3,31,163,44.2974199997564,-68.6743700001904,EB,6487003f-eff4-4eb2-9de3-d21e7bd2c4ed
529432.2259,4903698.5196,71,EB014.50,A,30,30,3,0.5,400,13.7,31,163,44.285939999932,-68.6311199997129,EB,ee2bf572-65d2-402c-8f35-3b84248772b6
529568.7393,4904742.1365,72,EB015.00,CA,30,30,2.4,0.29,20,5.9,31,163,44.2953300002928,-68.6293499995857,EB,efdae2f8-ecf5-4dfa-b636-c6e530ef5f5e
530809.0517,4905636.4668,73,EB015.80,A,30,30,4.2,0.55,620,22,31,163,44.3033300000189,-68.613750000513,EB,359fd734-e740-4b88-b9cd-caf2259c134d
530999.2786,4905724.0048,74,EB016.00,A,30,30,4.2,0.45,52,16,31,163,44.3041100002785,-68.6113599998369,EB,5eb82b5d-dfc9-4794-9552-163cede1191e
530369.844,4904711.3711,76,EB016.50,CA,30,30,3.7,0.47,52,15.3,31,163,44.2950199995931,-68.6193100002244,EB,ca4cb002-bd48-43e4-895b-a6a4eb53b795
532901.9856,4901218.0478,79,EB018.50,CA,30,30,2.4,0.23,18,4.7,31,163,44.2634599999408,-68.5877899999428,EB,624e5f44-cc38-4c74-b60e-913714625947
533493.8384,4901143.2934,80,EB019.00,CA,30,30,3.7,0.55,200,19.1,31,163,44.2627600001561,-68.5803800005265,EB,5d362235-9519-4dbc-9c1b-f8ea9e86688a
534810.7768,4899662.8496,81,EB020.00,A,30,30,2.6,0.31,46,6.8,31,163,44.2493699996075,-68.5639799998709,EB,eaefd6f5-4c33-4f32-af2e-f164a5d7f278
537181.3335,4897391.0303,83,EB022.00,A,30,30,2,0.08,4,2.5,31,163,44.2288000001853,-68.5344500004171,EB,6c55eeab-70cc-4d29-aa4e-5b47adcb0966
524632.8831,4904126.3359,84,EC001.00,A,30,30,2.3,0.3,42,5.8,31,163,44.2899699999303,-68.6912500003007,EC,0f141c99-8c37-4b92-8697-443c5da9097d
525021.4635,4903282.5285,86,EC002.00,A,30,30,2.8,0.35,24,8.1,31,163,44.2823599999516,-68.6864199997543,EC,4579942d-2618-424d-b8be-46e1ea1e589b
522453.523,4903099.9429,89,EC004.00,A,30,30,3.1,0.41,76,10.6,31,163,44.2808000004461,-68.718609999828,EC,2c6a24e0-ced9-4b09-9668-eeb82271e1ec
521920.493,4904051.1573,90,EC005.00,A,30,30,2.6,0.33,42,7.2,31,163,44.2893800003154,-68.7252499998155,EC,c2eff315-2619-4e50-836e-ef0761044e6e
521472.941,4905984.5977,92,EC006.10,A,30,30,1.9,0.07,4,2.4,31,163,44.3067999997977,-68.7307800003097,EC,e5a9da16-2b66-4114-a6a6-c6512248215e
525626.1212,4902717.2737,94,EC007.00,A,30,30,3,0.37,35,9.2,31,163,44.2772500000589,-68.6788699999132,EC,97a7efd0-ba2d-4226-ad0e-8ad50ea98e7f
529832.412,4898166.5614,97,EC009.00,A,30,30,2.7,0.26,12,5.9,31,163,44.2361199998986,-68.626419999633,EC,8bf5c35c-45a7-4689-b7e1-54d48a2147aa
528218.0044,4895867.9535,98,EC010.00,A,30,30,3.7,0.42,34,12.8,31,163,44.2154900001477,-68.6467599999543,EC,1df4b7a9-c9b9-40d8-b9b1-e7d8499b01f4
534286.5693,4894095.2145,100,EC012.00,A,30,30,2.3,0.21,14,4.5,31,163,44.1992700002379,-68.5709099998902,EC,70773fbc-1f0f-4e7e-afb1-039d92e12439
534151.7131,4893137.0479,101,EC013.00,A,30,30,2.2,0.18,9.1,3.8,31,163,44.1906500003605,-68.5726599993719,EC,0e31b541-28e9-4ef0-bcfd-0d60d8d8fea3
533541.4879,4892910.6439,102,EC014.00,A,30,30,2.9,0.54,1200,14.7,31,163,44.1886399998497,-68.5803099998616,EC,8eee1852-434f-486c-9f3b-bf29ca97f165
529878.3356,4895446.555,104,EC016.00,A,30,30,5.2,0.59,92,30.4,31,163,44.2116299999081,-68.6259999997255,EC,45b03172-1f73-426e-84fd-fbae26822536
527930.5469,4896213.2751,105,EC017.00,A,30,30,4.3,0.51,240,19.9,31,163,44.2186100000837,-68.650340000241,EC,d7be7b23-3b3c-4b48-bcd6-e14e6eec3da4
527351.7443,4895942.038,106,EC017.50,CA,30,30,2.6,0.34,20,7.3,31,163,44.216189999631,-68.6575999993802,EC,0fb2e031-e6fa-440e-97c0-d1849c42dc52
