X,Y,OBJECTID,Station,Class,Count_,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Min_Date,Lat_DD,Long_DD,Grow_Area
514418.325,4914209.2385,1,EA001.00,A,30,2.2,0.21,13,4.3,31,163,2017/04/10 00:00:00+00,44.38102,-68.819,EA
516928.5648,4916295.7247,2,EA003.50,P,30,2.2,0.17,8,3.6,31,163,2017/04/10 00:00:00+00,44.39975,-68.78742,EA
518018.146,4916806.2638,3,EA005.00,P,30,2.1,0.17,9.1,3.6,31,163,2017/04/10 00:00:00+00,44.40432,-68.77372,EA
518997.314,4919353.8145,4,EA006.00,CA,30,2.9,0.48,150,12.4,31,163,2017/01/04 00:00:00+00,44.42723,-68.76133,EA
520438.7005,4920153.4906,5,EA007.00,A,30,2.4,0.33,118,6.6,31,163,2017/06/19 00:00:00+00,44.43439,-68.74319,EA
521790.3737,4922687.1132,6,EA009.00,A,30,3.2,0.45,78,12.4,31,163,2017/06/19 00:00:00+00,44.45716,-68.7261,EA
521249.878,4923024.1137,7,EA010.00,A,30,3.8,0.51,132,17.4,31,163,2017/06/19 00:00:00+00,44.46021,-68.73288,EA
520818.9115,4923704.7396,8,EA011.00,A,30,4.1,0.44,86,15.3,31,163,2017/06/19 00:00:00+00,44.46635,-68.73827,EA
521822.0199,4923925.7401,9,EA012.00,A,30,5.7,0.5,98,25.4,31,163,2017/06/19 00:00:00+00,44.46831,-68.72565,EA
522288.559,4923569.6498,10,EA013.00,A,30,4.1,0.44,42,15.6,31,163,2017/06/19 00:00:00+00,44.46509,-68.7198,EA
523146.9769,4923313.8346,11,EA014.00,P,30,5.5,0.53,180,27.1,31,163,2017/06/19 00:00:00+00,44.46276,-68.70902,EA
523179.7605,4922373.1191,12,EA014.90,A,30,4.4,0.46,152,17.8,31,163,2017/06/19 00:00:00+00,44.45429,-68.70865,EA
523398.9255,4922269.4899,13,EA015.00,P,30,10.9,0.52,360,51.5,31,163,2017/06/19 00:00:00+00,44.45335,-68.7059,EA
