X,Y,OBJECTID,Station,Class,Count_,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Min_Date,Lat_DD,Long_DD,Grow_Area,GlobalID
514418.3242,4914208.2258,1,EA001.00,A,30,2.2,0.21,13,4.2,31,163,2018/05/23 00:00:00+00,44.38102,-68.819,EA,e825376a-fe4e-4f0d-b284-92f17432ebd6
516928.5636,4916294.7115,2,EA003.50,P,30,2.3,0.2,8,4.3,31,163,2018/05/23 00:00:00+00,44.39975,-68.78742,EA,2569a0eb-8d1e-4dd2-ab99-607f9c84866e
518018.1447,4916805.2505,3,EA005.00,P,30,2.1,0.17,9.1,3.6,31,163,2018/05/23 00:00:00+00,44.40432,-68.77372,EA,22e0a063-f64e-4c51-b860-0012cd6cf7ab
518997.3126,4919352.8007,4,EA006.00,CA,30,2.9,0.46,150,11.3,31,163,2018/01/24 00:00:00+00,44.42723,-68.76133,EA,a5501603-7341-4848-bfb7-f8772a23c112
520438.6989,4920152.4766,5,EA007.00,A,30,2.1,0.14,6,3.2,31,163,2018/05/23 00:00:00+00,44.43439,-68.74319,EA,4475a6db-8eac-4695-b596-2c62320f11bb
521790.3719,4922686.0986,6,EA009.00,A,30,3.2,0.39,74,10.3,31,163,2018/05/23 00:00:00+00,44.45716,-68.7261,EA,49770842-7dcc-4de2-b82e-1ffb342766bb
521249.8764,4923023.0992,7,EA010.00,A,30,3.2,0.43,76,11.9,31,163,2018/05/23 00:00:00+00,44.46021,-68.73288,EA,4a08b8fb-429d-410b-8d37-50f07d1f6329
520818.9099,4923703.725,8,EA011.00,A,30,3.3,0.34,31,9.2,31,163,2018/05/23 00:00:00+00,44.46635,-68.73827,EA,43cba713-055f-459e-a3ac-26ff6df32ea6
521822.0182,4923924.7253,9,EA012.00,A,30,4.9,0.44,48,18.2,31,163,2018/05/23 00:00:00+00,44.46831,-68.72565,EA,015e8e79-9d2f-446d-b4a3-4b69e62c5fae
522288.5572,4923568.6351,10,EA013.00,A,30,3.9,0.43,42,14.5,31,163,2018/05/23 00:00:00+00,44.46509,-68.7198,EA,d6c28266-bb32-4e8e-a5d5-ec88571159af
523146.9749,4923312.8199,11,EA014.00,P,30,5.4,0.46,60,21.5,31,163,2018/05/23 00:00:00+00,44.46276,-68.70902,EA,eb877d25-4201-4772-bc96-ce682ee44169
523179.7585,4922372.1046,12,EA014.90,A,30,4.1,0.4,29,13.6,31,163,2018/05/23 00:00:00+00,44.45429,-68.70865,EA,a59981fe-bd46-41b8-b4f4-dec1271353a9
523398.9234,4922268.4753,13,EA015.00,P,30,8.2,0.46,90,32.2,31,163,2018/05/23 00:00:00+00,44.45335,-68.7059,EA,7c52eee5-c8de-43b4-88a6-6bcfd03464a6
522832.8019,4921938.7848,14,EA015.50,A,30,3.4,0.42,108,12,31,163,2018/05/23 00:00:00+00,44.4504,-68.71303,EA,9cc7f79d-6b0a-4051-911c-9fac584f0434
521816.9712,4920683.455,15,EA017.00,A,30,2.2,0.22,15,4.4,31,163,2018/05/23 00:00:00+00,44.43913,-68.72585,EA,ebf4677e-7aa0-442e-8f06-8d242676126f
523525.0925,4916188.5437,16,EA019.00,A,30,3.4,0.36,44,10.1,31,163,2018/05/09 00:00:00+00,44.39861,-68.70459,EA,24c7177f-eab3-48c2-a837-605a1569b775
523555.721,4915866.531,17,EA019.10,A,30,3.3,0.35,66,9.5,31,163,2018/05/09 00:00:00+00,44.39571,-68.70422,EA,e7f7c1e1-f778-492f-bbb7-40c61524699e
523711.4892,4915518.3137,18,EA019.13,A,30,4,0.44,144,15,31,163,2018/05/09 00:00:00+00,44.39257,-68.70228,EA,f0432dbd-21d0-4194-a2be-54c2d8fbbb35
525130.5118,4915789.1007,19,EA019.20,A,30,5.2,0.54,360,25.9,31,163,2018/05/09 00:00:00+00,44.39496,-68.68445,EA,cc28e433-49cd-48c2-afe3-a524acbd155e
525223.2984,4915685.0463,20,EA019.23,A,30,4.6,0.53,122,22.3,31,163,2018/05/09 00:00:00+00,44.39402,-68.68329,EA,5c7b6dfc-f868-45e5-9d12-e0763e3f2e64
525101.5863,4915441.3179,21,EA019.27,A,30,3.8,0.45,114,14.7,31,163,2018/05/09 00:00:00+00,44.39183,-68.68483,EA,3c02043b-60f1-4dac-b434-cbc1f1ac4a35
525836.0711,4914598.8886,22,EA019.38,A,30,4.1,0.46,280,16.2,31,163,2018/05/09 00:00:00+00,44.38422,-68.67565,EA,b40762f3-0d48-41b8-be6f-c77d4ad4d807
526097.3748,4914591.0424,23,EA019.39,A,30,4.2,0.51,460,19.4,31,163,2018/05/09 00:00:00+00,44.38414,-68.67237,EA,35210dcc-53f6-483c-8c8c-cd877a30d1b5
525978.3073,4914286.2161,24,EA019.42,A,30,4.2,0.51,260,19.2,31,163,2018/05/09 00:00:00+00,44.3814,-68.67388,EA,ce1c80ae-8a08-4bdc-90d0-6f37b0c71328
520565.576,4917524.7904,25,EA021.00,A,30,2.6,0.33,22,7.1,31,163,2018/05/23 00:00:00+00,44.41073,-68.7417,EA,c5cfb106-7d07-4adc-adaa-5cc74d4619b1
518900.3407,4916560.0472,26,EA023.00,CA,30,3.5,0.53,180,17.1,31,163,2020/07/06 00:00:00+00,44.40209,-68.76265,EA,93232af1-1dc1-4bac-a606-ee9a400f286e
517527.2183,4915182.1977,27,EA024.00,CA,30,3.3,0.47,160,13.6,31,163,2020/07/06 00:00:00+00,44.38972,-68.77994,EA,80b89114-5577-47a1-a0d5-4aa0e4b8f032
518936.3171,4913217.866,28,EA026.00,A,30,2.7,0.3,22,6.7,31,163,2018/05/23 00:00:00+00,44.372,-68.76232,EA,fb0d0cd7-9959-45ea-8e13-67112dee2394
518645.1158,4911683.0705,29,EA028.00,A,30,2.4,0.34,108,6.7,31,163,2018/05/23 00:00:00+00,44.35819,-68.76603,EA,cf7d9521-44ca-4028-a687-c7a7ef5c2db8
517126.5716,4913064.0253,30,EA029.00,CA,30,2.3,0.26,25,4.9,31,163,2020/07/06 00:00:00+00,44.37066,-68.78504,EA,d4a81bf3-088a-4541-8d0d-42a51a1ffdc6
516909.1354,4913035.6895,31,EA031.00,CA,30,2.5,0.26,16,5.4,31,163,2020/07/06 00:00:00+00,44.37041,-68.78777,EA,857af878-2b0a-4e14-b08a-6f594616cd13
515757.8265,4906431.6163,32,EB001.00,A,30,4.2,0.51,56,19.1,31,163,2018/05/22 00:00:00+00,44.31098,-68.80242,EB,417bb898-f900-4347-9511-288aa9299544
516832.6207,4907477.285,33,EB002.00,A,30,2.6,0.39,74,8.3,31,163,2018/05/22 00:00:00+00,44.32037,-68.78891,EB,1b154030-a8bc-42f9-b433-364622232295
518159.3301,4908122.8479,34,EB003.00,A,30,3.2,0.47,152,13.1,31,163,2018/05/22 00:00:00+00,44.32615,-68.77225,EB,981459c6-4603-432d-b0b0-3fd07cf05a9a
519963.6186,4910765.0391,35,EB004.00,CA,30,3,0.44,58,11.1,31,163,2017/03/28 00:00:00+00,44.34989,-68.74952,EB,d558f913-9c9f-423a-b7c6-e0b31e014b2f
520340.1382,4908867.9196,36,EB004.50,P,30,2.5,0.32,32,6.7,31,163,2018/05/22 00:00:00+00,44.3328,-68.74487,EB,85a598b4-68f0-4b24-8fd9-4a2834f65153
