OBJECTID,Station,Class,Count_,GM,SDV,MAX_,P90,Appd_Std,Restr_Std,Min_Date,Lat_DD,Long_DD,Grow_Area,GlobalID,x,y
1,EA001.00,A,30,2.2,0.21,13.0,4.1,31,163,4/29/2019 0:00,44.38101088,-68.81900004,EA,07a17ec7-19c9-483c-85ea-1da731207666,514418.3242,4914208.226
2,EA003.50,A,30,2.2,0.17,8.0,3.6,31,163,4/29/2019 0:00,44.39974088,-68.78742005,EA,67ac4139-90bf-4377-8d7c-edda24669fe7,516928.5636,4916294.712
3,EA004.00,A,30,4.2,0.66,760.0,30.3,31,163,8/18/2014 0:00,44.39818088,-68.80233004,EA,4ce5f193-6542-4068-8ce7-67272ba680d8,515741.6412,4916118.46
4,EA005.00,A,30,2.2,0.21,13.0,4.1,31,163,4/29/2019 0:00,44.40431088,-68.77372005,EA,1ade463f-e9ec-477e-9038-af781b6395f9,518018.1447,4916805.251
5,EA006.00,A,30,2.6,0.43,150.0,9.6,31,163,1/2/2019 0:00,44.42722087,-68.76133005,EA,003f6c68-a10d-4fb3-8e17-a0f4da2d8361,518997.3126,4919352.801
6,EA007.00,A,30,2.3,0.28,58.0,5.5,31,163,4/29/2019 0:00,44.43438087,-68.74319006,EA,0c19a6ac-89ef-4c92-a7fd-1517ae01cb82,520438.6989,4920152.477
7,EA009.00,A,30,3.3,0.41,74.0,11.5,31,163,4/29/2019 0:00,44.45715087,-68.72610007,EA,8c2da384-27df-4d41-a8ef-2b532a5df87a,521790.3719,4922686.099
8,EA010.00,A,30,3.7,0.48,104.0,15.4,31,163,4/29/2019 0:00,44.46020087,-68.73288006,EA,fdbcae62-cae5-4d1b-95a7-04b0e3defcde,521249.8764,4923023.099
9,EA011.00,A,30,4.4,0.56,1240.0,23.3,31,163,4/29/2019 0:00,44.46634087,-68.73827006,EA,6abdc4da-2c84-4250-8710-338a99aed349,520818.9099,4923703.725
10,EA012.00,R,30,6.0,0.61,1220.0,36.8,31,163,4/29/2019 0:00,44.46830086,-68.72565006,EA,ddc5e41f-acd3-4083-acf6-b34b2e7e3a3e,521822.0182,4923924.725
11,EA013.00,A,30,4.9,0.56,560.0,26.2,31,163,4/29/2019 0:00,44.46508087,-68.71980007,EA,b4eb9107-1d05-4b8c-8ccf-175451938bf3,522288.5572,4923568.635
12,EA014.00,A,30,5.7,0.57,960.0,30.8,31,163,4/29/2019 0:00,44.46275086,-68.70902007,EA,3929f8c6-5970-4ee5-8509-16036ea3f405,523146.9749,4923312.82
13,EA014.90,A,30,4.6,0.5,260.0,20.4,31,163,4/29/2019 0:00,44.45428087,-68.70865007,EA,724ec6c5-109c-4b42-86ab-f980bdacd336,523179.7585,4922372.105
14,EA015.00,R,30,9.2,0.6,760.0,54.2,31,163,4/29/2019 0:00,44.45334087,-68.70590007,EA,afbbad33-2260-4430-82b4-893d828d690a,523398.9234,4922268.475
15,EA015.50,A,30,3.5,0.39,68.0,11.4,31,163,4/29/2019 0:00,44.45039087,-68.71303007,EA,70d5d864-8006-43fe-bc54-c11dbad8a97f,522832.8019,4921938.785
16,EA017.00,A,30,2.3,0.24,20.0,4.7,31,163,4/29/2019 0:00,44.43912087,-68.72585007,EA,3f778404-3f2d-40a3-9bbc-7c4ef5959f41,521816.9712,4920683.455
17,EA019.00,A,30,3.3,0.32,22.0,8.7,31,163,4/18/2019 0:00,44.39860088,-68.70459008,EA,21af81a7-6a42-4432-90ba-716c579e60b4,523525.0925,4916188.544
18,EA019.10,A,30,3.5,0.35,66.0,10.2,31,163,4/18/2019 0:00,44.39570088,-68.70422008,EA,2edc7bd8-f74a-4117-9c5c-befb468e3480,523555.721,4915866.531
19,EA019.13,A,30,3.8,0.41,144.0,13.3,31,163,4/18/2019 0:00,44.39256088,-68.70228008,EA,d7cba006-edfb-4ca2-b55a-9f190d677698,523711.4892,4915518.314
20,EA019.20,A,30,5.3,0.5,360.0,23.3,31,163,4/18/2019 0:00,44.39495088,-68.68445008,EA,33d9093d-6e5f-42d8-a2ac-3dbcaad3ecda,525130.5118,4915789.101
21,EA019.23,A,30,5.1,0.55,122.0,26.1,31,163,4/18/2019 0:00,44.39401088,-68.68329008,EA,b18f90ce-6f5a-490a-830f-4eb16c20eea8,525223.2984,4915685.046
22,EA019.27,A,30,4.6,0.51,114.0,21.0,31,163,4/18/2019 0:00,44.39182088,-68.68483008,EA,cd6986c1-2d5f-479a-9329-40ef3ed06a1a,525101.5863,4915441.318
23,EA019.38,A,30,4.8,0.46,280.0,19.0,31,163,4/18/2019 0:00,44.38421088,-68.67565009,EA,8966fb09-e8b0-44f0-b261-d5c97cd5b21d,525836.0711,4914598.889
24,EA019.39,A,30,5.2,0.56,460.0,27.3,31,163,4/18/2019 0:00,44.38413088,-68.67237009,EA,b4b6904f-86bb-497f-bbc8-feae16976d40,526097.3748,4914591.042
25,EA019.42,A,30,5.3,0.55,260.0,27.2,31,163,4/18/2019 0:00,44.38139088,-68.67388009,EA,c4291f76-3974-4206-811f-5a385c065a5f,525978.3073,4914286.216
26,EA021.00,A,30,3.1,0.45,160.0,12.0,31,163,4/29/2019 0:00,44.41072088,-68.74170006,EA,4da347f2-84fc-41cb-aab8-099b5fced7c3,520565.576,4917524.79
27,EA023.00,A,30,3.4,0.51,140.0,15.6,31,163,7/6/2021 0:00,44.40208088,-68.76265006,EA,2dd819a3-132f-40de-b66e-7b093c1919b2,518900.3407,4916560.047
28,EA024.00,A,30,3.0,0.41,56.0,10.2,31,163,7/6/2021 0:00,44.38971088,-68.77994005,EA,e0369a27-8b4a-4808-8baa-b41e2546750c,517527.2183,4915182.198
29,EA026.00,A,30,2.7,0.3,22.0,6.7,31,163,4/29/2019 0:00,44.37199088,-68.76232006,EA,6f1b4298-f35c-4dca-bcdb-1902fcca63c2,518936.3171,4913217.866
30,EA028.00,A,30,2.1,0.14,8.0,3.3,31,163,4/29/2019 0:00,44.35818089,-68.76603006,EA,6f4e3406-7631-4145-b84d-19577c047d58,518645.1158,4911683.071
31,EA029.00,A,30,2.4,0.3,25.0,6.0,31,163,7/6/2021 0:00,44.37065088,-68.78504005,EA,1daf5a1c-e530-4ff4-9875-56fc09edbfdb,517126.5716,4913064.025
32,EA031.00,A,30,2.4,0.25,16.0,5.1,31,163,7/6/2021 0:00,44.37040088,-68.78777005,EA,246f0cfe-083e-4ed2-9ae3-20e2d57dc91d,516909.1354,4913035.69
33,EB001.00,A,30,4.8,0.54,56.0,23.9,31,163,5/7/2019 0:00,44.31097089,-68.80242005,EB,f5f09e9a-ca5a-43dd-8a78-43c51ef76cc5,515757.8265,4906431.616
34,EB002.00,A,30,3.1,0.47,74.0,12.8,31,163,5/7/2019 0:00,44.32036089,-68.78891005,EB,90683f88-4670-4588-8aa8-da69fce9822c,516832.6207,4907477.285
35,EB003.00,A,30,3.7,0.54,152.0,18.7,31,163,5/7/2019 0:00,44.32614089,-68.77225006,EB,309a2b13-ed7d-4863-95df-4cb3809ceab0,518159.3301,4908122.848
36,EB004.00,A,30,4.2,0.51,58.0,19.3,31,163,3/2/2021 0:00,44.34988089,-68.74952006,EB,357be9b9-f497-4178-a877-7dc01086111e,519963.6186,4910765.039
37,EB004.50,A,30,2.7,0.33,32.0,7.5,31,163,5/7/2019 0:00,44.33279089,-68.74487007,EB,1b4e6059-8026-4e0c-8d4a-c5e67c797e15,520340.1382,4908867.92
38,EB008.60,A,30,2.7,0.36,38.0,8.1,31,163,5/7/2019 0:00,44.32049089,-68.72289007,EB,4dd63927-3133-4c24-aa0a-9c66d107e9c4,522097.1023,4907507.395
39,EB010.00,A,30,3.3,0.5,126.0,15.0,31,163,5/7/2019 0:00,44.31399089,-68.70818008,EB,f00f1b03-4cf3-4239-9c05-73b55230aa9e,523272.6655,4906789.483
40,EB013.00,A,30,3.0,0.46,160.0,12.2,31,163,1/8/2019 0:00,44.29741089,-68.67437009,EB,16ecccb1-aa97-4cf5-bd80-1c13e4e8bb66,525976.3265,4904958.029
41,EB014.50,A,30,2.6,0.31,25.0,6.8,31,163,3/26/2019 0:00,44.28593089,-68.63112011,EB,7ed0383b-c01e-40eb-946b-41e4ef0f810b,529432.2219,4903697.508
42,EB015.00,A,30,2.4,0.33,46.0,6.6,31,163,1/2/2019 0:00,44.29532089,-68.62935011,EB,ef3f8442-edf9-44e8-98f3-8ff7540d7fbe,529568.7353,4904741.125
43,EB015.80,A,30,3.8,0.44,38.0,14.3,31,163,4/6/2021 0:00,44.30332089,-68.61375011,EB,f69ae466-1be8-40a2-bb79-5f24caf91250,530809.0476,4905635.455
44,EB016.50,A,30,2.5,0.35,32.0,7.2,31,163,1/2/2019 0:00,44.29501089,-68.61931011,EB,ae952476-9afb-4d8c-a317-90fe8bdb844b,530369.8399,4904710.36
45,EB018.50,A,30,2.6,0.38,108.0,8.4,31,163,1/2/2019 0:00,44.2634509,-68.58779012,EB,ca9bf841-2ea2-4d24-8f2a-1c89b34510f5,532901.9809,4901217.037
46,EB019.00,A,30,2.1,0.13,6.0,3.1,31,163,1/2/2019 0:00,44.2627509,-68.58038013,EB,b89d14c3-f0ef-47cb-9d2a-49f9b36eea45,533493.8336,4901142.282
47,EB020.00,A,30,3.4,0.55,520.0,17.6,31,163,3/26/2019 0:00,44.2493609,-68.56398013,EB,256cb197-e12c-4bab-b6f0-d07054494bf8,534810.7717,4899661.839
48,EB022.00,A,30,2.6,0.38,140.0,8.2,31,163,3/26/2019 0:00,44.2287909,-68.53445014,EB,d4a1b6be-9c17-41ae-8b44-0bf713bd267b,537181.3279,4897390.02
49,EC001.00,A,30,2.5,0.37,82.0,7.7,31,163,6/25/2019 0:00,44.2899609,-68.69125009,EC,41e9ab92-fde2-4b23-9106-50b37c325c65,524632.88,4904125.325
50,EC004.00,A,30,3.9,0.55,180.0,20.4,31,163,6/10/2019 0:00,44.2807909,-68.71861008,EC,18fb33dc-98d3-4941-8c3a-30df2186fc22,522453.5203,4903098.932
51,EC005.00,A,30,3.2,0.49,108.0,14.0,31,163,6/10/2019 0:00,44.2893709,-68.72525007,EC,1f546ab3-0700-469c-b02c-2d7ecd66260f,521920.4904,4904050.146
52,EC006.10,A,30,2.2,0.27,54.0,5.0,31,163,6/10/2019 0:00,44.30679089,-68.73078007,EC,cbcffb5e-b8c8-48ba-a6f5-c6292d67fbaf,521472.9386,4905983.586
53,EC007.00,A,30,3.8,0.45,54.0,14.7,31,163,6/10/2019 0:00,44.2772409,-68.67887009,EC,ef19837f-3bee-4a46-9f07-39ab4c2a7f04,525626.1179,4902716.263
54,EC009.00,R,30,3.7,0.72,1200.0,32.0,31,163,6/25/2019 0:00,44.2361109,-68.62642011,EC,de4515a8-13b4-43a0-a797-33f8102d85ef,529832.4077,4898165.551
55,EC010.00,A,30,2.7,0.34,20.0,7.3,31,163,10/25/2016 0:00,44.21548091,-68.64676011,EC,d2827102-599a-40ee-a714-2b0751a74f6c,528218.0003,4895866.944
56,EC012.00,A,30,3.7,0.48,92.0,15.7,31,163,6/10/2019 0:00,44.19926091,-68.57091013,EC,352d342b-d8ee-4343-99d7-7dba3a606e1d,534286.564,4894094.205
57,EC014.00,A,30,3.1,0.36,33.0,9.2,31,163,6/10/2019 0:00,44.18863091,-68.58031013,EC,3202583e-a43e-4252-b025-8b930a63fa2c,533541.4827,4892909.634
58,EC016.00,A,30,3.6,0.52,112.0,17.1,31,163,3/15/2021 0:00,44.21162091,-68.62600011,EC,d94cbcb8-fef1-4859-abd9-e145fadac498,529878.3312,4895445.545
59,EC017.00,A,30,3.8,0.47,96.0,15.3,31,163,2/25/2019 0:00,44.21860091,-68.6503401,EC,2a22823a-0afa-4161-8e65-4ab92e53a34d,527930.5429,4896212.265
60,EC017.50,A,30,3.6,0.51,158.0,16.4,31,163,11/12/2019 0:00,44.21618091,-68.6576001,EC,391a09f1-f221-4a3e-88c1-9b2f0edf068a,527351.7403,4895941.028
61,EC017.70,A,30,2.7,0.42,126.0,9.3,31,163,6/25/2019 0:00,44.21365091,-68.6682501,EC,8bf134bf-12c2-4188-87c2-1d23eb174e20,526502.127,4895656.526
62,EC017.80,A,30,4.6,0.59,160.0,26.9,31,163,12/10/2019 0:00,44.21571091,-68.6725401,EC,16e3f8fa-8975-48ed-a2d3-81aec553f044,526158.5047,4895883.959
63,EC018.00,A,30,3.7,0.55,1360.0,19.3,31,163,12/9/2019 0:00,44.20833091,-68.68152009,EC,b49226a9-8d83-4ab1-a173-6877d73af957,525444.3319,4895061.428
64,EC019.00,A,30,3.8,0.54,160.0,19.4,31,163,6/25/2019 0:00,44.19769091,-68.6632701,EC,d78c206f-7b1f-49ae-b7af-373b61bbe37f,526907.2226,4893885.437
65,EC020.00,A,30,3.5,0.66,760.0,25.6,31,163,6/25/2019 0:00,44.18893091,-68.6598501,EC,eb37fa24-a105-439f-b828-fec897505955,527184.5326,4892913.575
66,EC021.00,A,30,2.6,0.4,120.0,8.6,31,163,4/30/2019 0:00,44.18081091,-68.62780011,EC,945e98d3-a3a6-43d0-9be2-251a754e4ac4,529750.029,4892022.774
67,EC022.00,A,30,3.1,0.33,18.0,8.3,31,163,6/10/2019 0:00,44.17429092,-68.64267011,EC,c59c80a0-6950-4a6f-ae6c-dfe6029c8d92,528564.6136,4891293.315
68,EC022.30,A,30,4.6,0.63,500.0,30.3,31,163,6/25/2019 0:00,44.17654092,-68.65113011,EC,cb9b6560-cecd-4b58-9e8e-e530a8c835bd,527887.2688,4891540.321
69,EC023.50,A,30,2.6,0.33,29.0,7.1,31,163,6/10/2019 0:00,44.15890092,-68.64137011,EC,d4b5a93a-8db9-4a40-8f8d-917e7c0b9390,528675.9892,4889584.384
70,EC026.20,A,30,3.1,0.43,120.0,11.3,31,163,6/10/2019 0:00,44.15124092,-68.6820901,EC,ae884cc3-3fe9-4886-8f6e-ed5822865585,525423.313,4888720.189
71,EC026.70,A,30,3.0,0.51,680.0,13.7,31,163,6/10/2019 0:00,44.15461092,-68.69099009,EC,8175c2d3-dd1f-4293-b01d-eaec20e75dc9,524710.1722,4889091.786
72,EC026.90,A,30,3.4,0.45,120.0,13.0,31,163,6/10/2019 0:00,44.16248092,-68.69836009,EC,92b0850f-4bd4-410a-8ccf-c26441edeec6,524117.6196,4889963.726
73,EC027.00,A,30,4.1,0.56,400.0,22.1,31,163,6/10/2019 0:00,44.16363092,-68.69364009,EC,6fdb2c0b-3481-41f6-850d-9954ded2563c,524494.5313,4890092.853
74,EC027.80,A,30,4.3,0.55,180.0,21.9,31,163,6/10/2019 0:00,44.17986092,-68.69975009,EC,c21f3cc6-6b17-4fda-b234-46122a265996,523999.4332,4891893.736
75,EC028.00,R,30,5.5,0.58,78.0,31.3,31,163,2/11/2020 0:00,44.18380092,-68.69764009,EC,9f9ec115-33e5-44b2-b636-025e836e1ffc,524166.4792,4892331.975
76,EC031.00,A,30,2.9,0.38,42.0,9.0,31,163,6/10/2019 0:00,44.21287091,-68.71751008,EC,63f382e9-9216-4952-9500-dd2ff9c174f8,522567.2476,4895555.18
